Data from Daily Inventory of Electricity Consumption,,,,,,,,,,,,,,,,,,,,,
Date,Main Meter – Meralco (kW),SteerHub (kWh),CEAFA (kWh),Automotive (kWh),CET (kWh),RGR (kWh),SSC (kWh),GYM (kWh),,,,,,,,,,,,,
"September 26, 2023",26.3,157.927,1652.152,29.041,0.314,0.698,21.773,0.851,,,,,,,,,,,,,
"September 27, 2023",12.9,155.128,1411.259,45.619,0.242,0.9,33.838,0.286,,,,,,,,,,,,,
"September 28, 2023",9.2,71.056,988.577,59.159,0.215,0.792,17.181,0.64,,,,,,,,,,,,,
"September 29, 2023",18.9,152.626,926.189,44.14,0.425,0.676,82.866,0.314,,,,,,,,,,,,,
"September 30, 2023",28.4,25.921,984.674,34.313,0.908,0.68,10.484,0.958,,,,,,,,,,,,,
"October 01, 2023",22.4,115.403,1452.119,45.913,0.507,0.946,48.709,0.033,,,,,,,,,,,,,
"October 02, 2023",19.3,56.801,1327.508,24.917,0.188,0.296,19.86,0.58,,,,,,,,,,,,,
"October 03, 2023",7.4,39.291,803.715,55.546,0.077,0.001,34.614,0.167,,,,,,,,,,,,,
"October 04, 2023",20.4,32.313,791.52,40.123,0.696,0.272,84.085,0.712,,,,,,,,,,,,,
"October 05, 2023",29.8,131.406,708.235,37.974,0.383,0.218,22.936,0.176,,,,,,,,,,,,,
"October 06, 2023",8.5,74.38,1326.333,43.435,0.822,0.662,87.267,0.235,,,,,,,,,,,,,
"October 07, 2023",18,135.963,1440.81,44.991,0.66,0.634,26.464,0.494,,,,,,,,,,,,,
"October 08, 2023",26.9,30.457,891.551,22.871,0.796,0.593,69.325,0.915,,,,,,,,,,,,,
"October 09, 2023",23.5,70.446,623.039,47.305,0.272,0.016,53.734,0.212,,,,,,,,,,,,,
"October 10, 2023",22.4,106.319,690.389,29.677,0.692,0.729,80.758,0.144,,,,,,,,,,,,,
"October 11, 2023",22.6,146.516,1664.646,48.558,0.264,0.324,54.319,0.759,,,,,,,,,,,,,
"October 12, 2023",14,71,924.989,52.901,0.939,0.665,52.765,0.501,,,,,,,,,,,,,
"October 13, 2023",12.3,120.143,1446.145,52.158,0.636,0.557,25.637,0.912,,,,,,,,,,,,,
"October 14, 2023",25.2,161.756,1287.13,42.1,0.325,0.343,23.298,0.147,,,,,,,,,,,,,
"October 15, 2023",25.3,118.538,1020.134,40.807,0.27,0.135,83.319,0.646,,,,,,,,,,,,,
"October 16, 2023",26.7,57.274,826.256,25.715,0.191,0.094,36.227,0.233,,,,,,,,,,,,,
"October 17, 2023",27.8,23.904,733.525,51.014,0.695,0.832,39.767,0.157,,,,,,,,,,,,,
"October 18, 2023",17.8,159.216,1276.514,30.856,0.219,0.918,70.786,0.683,,,,,,,,,,,,,
"October 19, 2023",17.5,23.403,1452.097,39.868,0.595,0.65,37.106,0.594,,,,,,,,,,,,,
"October 20, 2023",25,159.952,1308.295,31.371,0.265,0.103,86.165,0.755,,,,,,,,,,,,,
"October 21, 2023",21.2,104.63,1183.332,25.353,0.662,0.402,69.034,0.309,,,,,,,,,,,,,
"October 22, 2023",22.5,170.251,646.146,45.182,0.815,0.729,57.794,0.448,,,,,,,,,,,,,
"October 23, 2023",24.9,147.805,1665.338,22.173,0.778,0.78,80.472,0.405,,,,,,,,,,,,,
"October 24, 2023",27.3,179.669,1478.586,49.946,0.761,0.118,13.968,0.984,,,,,,,,,,,,,
"October 25, 2023",13.4,76.114,922.104,32.703,0.188,0,30.565,0.292,,,,,,,,,,,,,
"October 26, 2023",14.4,142.75,1677.967,20.005,0.088,0.712,47.203,0.295,,,,,,,,,,,,,
"October 27, 2023",7.3,84.309,1262.07,40.445,0.699,0.357,28.158,0.355,,,,,,,,,,,,,
"October 28, 2023",19.5,96.78,1240.665,21.874,0.368,0.254,69.512,0.565,,,,,,,,,,,,,
"October 29, 2023",5.9,120.401,1422.88,31.047,0.432,0.013,83.537,0.252,,,,,,,,,,,,,
"October 30, 2023",16.6,159.788,1492.947,48.279,0.031,0.54,43.902,0.915,,,,,,,,,,,,,
"October 31, 2023",18.6,177.453,1322.126,22.508,0.26,0.851,37.371,0.266,,,,,,,,,,,,,
"November 01, 2023",12.2,142.924,740.905,53.574,0.034,0.958,86.924,0.896,,,,,,,,,,,,,
"November 02, 2023",19.8,86.843,972.094,20.153,0.879,0.566,45.588,0.103,,,,,,,,,,,,,
"November 03, 2023",5.8,87.417,1620.892,29.873,0.243,0.514,49.124,0.657,,,,,,,,,,,,,
"November 04, 2023",5.9,138.013,847.077,49.636,0.557,0.085,38.132,0.907,,,,,,,,,,,,,
"November 05, 2023",25.6,58.204,1009.384,32.651,0.039,0.549,82.764,0.169,,,,,,,,,,,,,
"November 06, 2023",14,37.676,1075.285,24.076,0.667,0.38,55.516,0.968,,,,,,,,,,,,,
"November 07, 2023",8.2,76.74,1083.345,34.409,0.323,0.607,70.974,0.453,,,,,,,,,,,,,
"November 08, 2023",18.1,65.958,1274.234,30.816,0.898,0.389,74.945,0.946,,,,,,,,,,,,,
"November 09, 2023",24.2,67.409,1637.383,53.708,0.888,0.24,37.348,0.677,,,,,,,,,,,,,
"November 10, 2023",10.4,57.377,864.762,32.534,0.325,0.095,44.696,0.302,,,,,,,,,,,,,
"November 11, 2023",20.6,26.735,733.652,51.557,0.901,0.315,77.878,0.188,,,,,,,,,,,,,
"November 12, 2023",7.1,22.86,817.218,55.675,0.996,0.097,39.06,0.304,,,,,,,,,,,,,
"November 13, 2023",6.3,178.036,1575.617,37.353,0.825,0.177,73.515,0.093,,,,,,,,,,,,,
"November 14, 2023",18.3,88.444,1310.392,56.398,0.845,0.987,85.279,0.144,,,,,,,,,,,,,
"November 15, 2023",18.5,81.492,914.497,35.093,0.249,0.444,59.857,0.105,,,,,,,,,,,,,
"November 16, 2023",20.9,128.744,1497.542,58.563,0.577,0.532,69.33,0.423,,,,,,,,,,,,,
"November 17, 2023",23.2,54.921,1547.507,23.572,0.067,0.874,74.408,0.796,,,,,,,,,,,,,
"November 18, 2023",29.4,171.994,1531.166,47.481,0.095,0.996,77.603,0.141,,,,,,,,,,,,,
"November 19, 2023",17.9,145.815,1610.819,39.753,0.999,0.583,41.604,0.13,,,,,,,,,,,,,
"November 20, 2023",13.1,34.306,877.465,35.506,0.327,0.812,14.101,0.643,,,,,,,,,,,,,
"November 21, 2023",24.9,86.813,1430.546,45.308,0.748,0.327,42.15,0.197,,,,,,,,,,,,,
"November 22, 2023",11.8,160.659,1106.593,48.154,0.807,0.306,63.9,0.098,,,,,,,,,,,,,
"November 23, 2023",16,171.157,1526.198,20.175,0.858,0.403,46.028,0.167,,,,,,,,,,,,,
"November 24, 2023",7,94.784,1401.34,26.678,0.998,0.673,69.917,0.924,,,,,,,,,,,,,
"November 25, 2023",5.6,118.146,1454.092,48.522,0.241,0.682,38.559,0.821,,,,,,,,,,,,,
"November 26, 2023",29.1,46.725,1321.778,46.655,0.04,0.315,60.78,0.354,,,,,,,,,,,,,
"November 27, 2023",25.9,178.587,795.172,58.642,0.411,0.133,24.914,0.656,,,,,,,,,,,,,
"November 28, 2023",22.4,57.067,1199.53,50.442,0.13,0.632,69.95,0.537,,,,,,,,,,,,,
"November 29, 2023",15.2,170.837,1683.137,58.031,0.022,0.128,53.656,0.677,,,,,,,,,,,,,
"November 30, 2023",9.3,123.943,1631.127,48.102,0.36,0.578,26.325,0.683,,,,,,,,,,,,,
"December 01, 2023",8.9,117.238,647.491,31.922,0.784,0.693,33.353,0.629,,,,,,,,,,,,,
"December 02, 2023",11.3,102.03,781.296,24.215,0.566,0.701,69.889,0.266,,,,,,,,,,,,,
"December 03, 2023",18.7,56.907,744.902,51.273,0.313,0.753,48.608,0.039,,,,,,,,,,,,,
"December 04, 2023",22.9,48.244,1398.578,45.766,0.654,0.873,27.283,0.456,,,,,,,,,,,,,
"December 05, 2023",21.5,55.278,1499.564,21.927,0.232,0.5,87.382,0.891,,,,,,,,,,,,,
"December 06, 2023",12,49.83,834.863,34.402,0.014,0.73,67.21,0.569,,,,,,,,,,,,,
"December 07, 2023",28.9,144.734,1156.438,58.272,0.764,0.619,86.571,0.832,,,,,,,,,,,,,
"December 08, 2023",23.4,76.02,1524.773,40.016,0.624,0.187,44.168,0.992,,,,,,,,,,,,,
"December 09, 2023",18.9,29.255,1406.082,37.309,0.762,0.026,48.008,0.164,,,,,,,,,,,,,
"December 10, 2023",20.3,175.056,1196.461,38.308,0.039,0.285,81.836,0.692,,,,,,,,,,,,,
"December 11, 2023",15.5,161.406,1249.382,28.355,0.837,0.443,52.004,0.674,,,,,,,,,,,,,
"December 12, 2023",11.2,168.44,1159.197,34.748,0.62,0.617,66.582,0.98,,,,,,,,,,,,,
"December 13, 2023",13.9,179.185,927.303,34.793,0.563,0.85,30.174,0.986,,,,,,,,,,,,,
"December 14, 2023",23.9,47.823,1221.524,22.094,0.625,0.196,45.738,0.687,,,,,,,,,,,,,
"December 15, 2023",5.4,83.399,1357.774,50.703,0.864,0.126,19.876,0.244,,,,,,,,,,,,,
"December 16, 2023",7.9,141.318,1560.655,36.66,0.587,0.963,26.478,0.799,,,,,,,,,,,,,
"December 17, 2023",6.2,131.363,1299.92,52.887,0.581,0.108,10.075,0.107,,,,,,,,,,,,,
"December 18, 2023",6,44.623,1437.234,54.014,0.991,0.478,13.141,0.781,,,,,,,,,,,,,
"December 19, 2023",26.4,150.533,776.079,28.48,0.757,0.586,88.183,0.91,,,,,,,,,,,,,
"December 20, 2023",22.6,55.91,1107.713,46.294,0.442,0.541,29.388,0.383,,,,,,,,,,,,,
"December 21, 2023",16.9,55.811,610.265,38.891,0.707,0.086,63.065,0.631,,,,,,,,,,,,,
"December 22, 2023",7.4,105.916,871.347,55.206,0.389,0.057,77.128,0.43,,,,,,,,,,,,,
"December 23, 2023",17.3,114.87,1399.108,28.63,0.229,0.105,54.053,0.438,,,,,,,,,,,,,
"December 24, 2023",16.8,112.814,1690.991,47.113,0.597,0.586,22.252,0.31,,,,,,,,,,,,,
"December 25, 2023",9.3,34.638,709.096,44.31,0.928,0.544,68.249,0.762,,,,,,,,,,,,,
"December 26, 2023",15.8,160.394,1041.644,31.812,0.929,0.234,58.02,0.936,,,,,,,,,,,,,
"December 27, 2023",15,62.496,1480.078,25.464,0.342,0.638,68.5,0.941,,,,,,,,,,,,,
"December 28, 2023",20.4,40.722,824.439,46.066,0.528,0.82,71.58,0.175,,,,,,,,,,,,,
"December 29, 2023",20.9,162.2,1210.593,49.544,0.212,0.042,88.033,0.875,,,,,,,,,,,,,
"December 30, 2023",6.1,172.904,1406.378,32.625,0.996,0.498,55.885,0.737,,,,,,,,,,,,,
"December 31, 2023",14.4,157.94,1277.584,45.793,0.981,0.689,37.331,0.253,,,,,,,,,,,,,
"January 01, 2024",20.6,149.523,806.827,35.805,0.65,0.252,61.877,0.067,,,,,,,,,,,,,
"January 02, 2024",17.6,124.839,990.923,48.528,0.804,0.308,15.475,0.268,,,,,,,,,,,,,
"January 03, 2024",26.4,108.137,1462.171,27.969,0.715,0.614,81.792,0.912,,,,,,,,,,,,,
"January 04, 2024",21.5,33.918,1209.649,55.609,0.593,0.898,19.55,0.633,,,,,,,,,,,,,
"January 05, 2024",9.1,85.353,605.753,31.496,0.053,0.81,36.227,0.721,,,,,,,,,,,,,
"January 06, 2024",6.8,79.63,1437.09,34.711,0.455,0.583,75.26,0.257,,,,,,,,,,,,,
"January 07, 2024",21.1,61.561,638.842,22.324,0.675,0.73,57.785,0.719,,,,,,,,,,,,,
"January 08, 2024",5.7,135.747,1420.307,24.46,0.678,0.365,41.491,0.028,,,,,,,,,,,,,
"January 09, 2024",19.6,99.34,822.729,40.634,0.373,0.641,47.875,0.375,,,,,,,,,,,,,
"January 10, 2024",28.5,32.967,1653.881,30.704,0.942,0.466,78.364,0.627,,,,,,,,,,,,,
"January 11, 2024",19.4,55.229,1004.735,53.419,0.167,0.19,37.2,0.146,,,,,,,,,,,,,
"January 12, 2024",14.7,129.321,959.625,20.588,0.5,0.702,79.572,0.823,,,,,,,,,,,,,
"January 13, 2024",21.1,32.181,763.777,35.164,0.691,0.556,17.051,0.235,,,,,,,,,,,,,
"January 14, 2024",16.5,156.193,936.165,33.494,0.697,0.359,72.144,0.652,,,,,,,,,,,,,
"January 15, 2024",18.6,99.223,1564.316,20.773,0.649,0.911,77.804,0.405,,,,,,,,,,,,,
"January 16, 2024",28.5,96.894,1695.968,24.975,0.275,0.021,24.545,0.596,,,,,,,,,,,,,
"January 17, 2024",14.7,114.785,1005.14,36.546,0.156,0.316,44.428,0.107,,,,,,,,,,,,,
"January 18, 2024",29,151.949,1093.472,39.715,0.636,0.057,23.24,0.017,,,,,,,,,,,,,
"January 19, 2024",27.6,75.649,1394.278,36.172,0.599,0.767,66.528,0.91,,,,,,,,,,,,,
"January 20, 2024",9.9,128.483,1574.815,41.238,0.179,0.702,52.828,0.27,,,,,,,,,,,,,
"January 21, 2024",6.7,110.517,1252.349,43.805,0.705,0.331,60.826,0.82,,,,,,,,,,,,,
"January 22, 2024",7.5,62.725,1030.678,20.397,0.455,0.676,25.719,0.999,,,,,,,,,,,,,
"January 23, 2024",5.5,160.581,1053.884,38.564,0.668,0.396,26.94,0.211,,,,,,,,,,,,,
"January 24, 2024",7.4,147.588,1365.18,58.54,0.837,0.756,13.32,0.265,,,,,,,,,,,,,
"January 25, 2024",22.1,125.352,603.54,40.761,0.17,0.454,35.765,0.663,,,,,,,,,,,,,
"January 26, 2024",6.8,156.093,1281.548,47.102,0.019,0.412,54.78,0.965,,,,,,,,,,,,,
"January 27, 2024",13,158.767,991.042,32.475,0.779,0.935,78.635,0.916,,,,,,,,,,,,,
"January 28, 2024",26.1,133.338,1473.617,50.96,0.61,0.251,63.354,0.503,,,,,,,,,,,,,
"January 29, 2024",5.6,153.922,702.29,50.917,0.7,0.12,44.832,0.795,,,,,,,,,,,,,
"January 30, 2024",25.4,131.595,1247.022,40.852,0.838,0.585,86.25,0.136,,,,,,,,,,,,,
"January 31, 2024",12,128.823,1129.07,59.041,0.803,0.969,67.54,0.977,,,,,,,,,,,,,
"February 01, 2024",8,118.978,1306.558,25.022,0.961,0.378,84.413,0.964,,,,,,,,,,,,,
"February 02, 2024",22.4,140.435,671.339,20.678,0.536,0.062,52.207,0.164,,,,,,,,,,,,,
"February 03, 2024",20.7,45.377,1237.982,50.806,0.488,0.339,30.712,0.299,,,,,,,,,,,,,
"February 04, 2024",26.9,160.939,1217.633,52.286,0.402,0.506,14.226,0.1,,,,,,,,,,,,,
"February 05, 2024",23.4,159.495,1216.726,24.808,0.154,0.162,68.087,0.272,,,,,,,,,,,,,
"February 06, 2024",25.1,24.68,1263.836,30.623,0.573,0.658,19.704,0.816,,,,,,,,,,,,,
"February 07, 2024",12.1,152.131,1344.115,20.702,0.277,0.998,34.222,0.378,,,,,,,,,,,,,
"February 08, 2024",9.4,40.619,1485.488,31.732,0.921,0.452,52.598,0.088,,,,,,,,,,,,,
"February 09, 2024",23.8,73.619,896.803,50.926,0.583,0.355,55.153,0.342,,,,,,,,,,,,,
"February 10, 2024",25.2,138.961,1507.554,40.718,0.593,0.401,58.047,0.981,,,,,,,,,,,,,
"February 11, 2024",29.8,45.722,1148.081,33.924,0.355,0.115,23.3,0.63,,,,,,,,,,,,,
"February 12, 2024",15.3,150.875,684.764,34.87,0.052,0.883,40.379,0.416,,,,,,,,,,,,,
"February 13, 2024",14.3,153.141,664.406,20.054,0.032,0.415,59.376,0.167,,,,,,,,,,,,,
"February 14, 2024",24.4,101.195,967.662,31.992,0.423,0.387,87.586,0.986,,,,,,,,,,,,,
"February 15, 2024",13.5,21.022,1463.387,45.858,0.085,0.66,68.21,0.821,,,,,,,,,,,,,
"February 16, 2024",28.3,65.926,1378.449,58.968,0.607,0.442,83.808,0.281,,,,,,,,,,,,,
"February 17, 2024",26.5,118.708,1467.476,53.882,0.881,0.648,70.977,0.07,,,,,,,,,,,,,
"February 18, 2024",15.7,176.99,1168.996,20.944,0.883,0.061,57.337,0.057,,,,,,,,,,,,,
"February 19, 2024",23.8,121.09,1084.219,55.942,0.659,0.814,25.362,0.12,,,,,,,,,,,,,
"February 20, 2024",23.9,61.569,762.198,51.328,0.211,0.941,63.335,0.581,,,,,,,,,,,,,
"February 21, 2024",7.6,121.441,961.012,51.215,0.863,0.649,59.87,0.929,,,,,,,,,,,,,
"February 22, 2024",27.6,106.398,1077.421,38.32,0.886,0.955,58.198,0.497,,,,,,,,,,,,,
"February 23, 2024",17.6,144.775,697.46,35.92,0.197,0.151,49.183,0.843,,,,,,,,,,,,,
"February 24, 2024",25.7,37.117,842.673,32.117,0.737,0.477,52.293,0.446,,,,,,,,,,,,,
"February 25, 2024",13,141.764,1258.048,22.628,0.287,0.602,36.755,0.709,,,,,,,,,,,,,
"February 26, 2024",27.4,106.603,1409.229,29.129,0.803,0.582,51.545,0.732,,,,,,,,,,,,,
"February 27, 2024",14.7,174.079,1698.182,29.864,0.997,0.401,25.804,0.174,,,,,,,,,,,,,
"February 28, 2024",5.3,74.7,1626.425,39.363,0.03,0.338,74.414,0.361,,,,,,,,,,,,,
"February 29, 2024",27.6,121.22,1306.822,49.898,0.897,0.127,24.862,0.637,,,,,,,,,,,,,
"March 01, 2024",7.3,169.124,1063.373,38.952,0.623,0.392,16.797,0.071,,,,,,,,,,,,,
"March 02, 2024",13,36.402,1299.795,22.314,0.973,0.163,44.9,0.362,,,,,,,,,,,,,
"March 03, 2024",28.8,169.957,1464.217,58.312,0.465,0.734,62.665,0.535,,,,,,,,,,,,,
"March 04, 2024",28.8,130.062,730.17,57.709,0.847,0.209,45.017,0.996,,,,,,,,,,,,,
"March 05, 2024",19.3,30.854,1050.895,51.408,0.062,0.059,32.14,0.475,,,,,,,,,,,,,
"March 06, 2024",20.8,68.154,1523.783,59.653,0.335,0.552,54.654,0.816,,,,,,,,,,,,,
"March 07, 2024",16.2,133.308,1022.216,41.779,0.067,0.595,37.76,0.432,,,,,,,,,,,,,
"March 08, 2024",12.3,30.776,1229.059,58.511,0.975,0.872,84.629,0.796,,,,,,,,,,,,,
"March 09, 2024",13.2,113.147,1246.546,23.024,0.817,0.577,83.812,0.595,,,,,,,,,,,,,
"March 10, 2024",21.8,75.341,802.924,34.627,0.853,0.345,50.19,0.887,,,,,,,,,,,,,
"March 11, 2024",23.8,119.346,998.459,29.015,0.938,0.803,36.231,0.411,,,,,,,,,,,,,
"March 12, 2024",24.8,27.319,967.962,27.833,0.085,0.54,68.971,0.604,,,,,,,,,,,,,
"March 13, 2024",24.7,159.446,628.816,25.632,0.386,0.079,12.937,0.63,,,,,,,,,,,,,
"March 14, 2024",7.3,175.758,626.611,44.897,0.071,0.566,47.982,0.417,,,,,,,,,,,,,
"March 15, 2024",17.4,175.02,1514.867,51.253,0.211,0.908,36.906,0.144,,,,,,,,,,,,,
"March 16, 2024",6.4,139.944,900.378,43.132,0.229,0.396,83.643,0.094,,,,,,,,,,,,,
"March 17, 2024",18.7,40.814,1169.887,25.879,0.469,0.296,10.96,0.017,,,,,,,,,,,,,
"March 18, 2024",16,141.322,928.598,52.445,0.269,0.143,54.225,0.874,,,,,,,,,,,,,
"March 19, 2024",27.2,23.934,1634.747,45.438,0.101,0.151,69.253,0.236,,,,,,,,,,,,,
"March 20, 2024",13.8,23.54,885.226,35.527,0.167,0.433,48.801,0.212,,,,,,,,,,,,,
"March 21, 2024",7.9,71.778,1072.622,46.965,0.147,0.596,16.832,0.736,,,,,,,,,,,,,
"March 22, 2024",8.6,98.183,1560.003,30.396,0.973,0.081,87.797,0.32,,,,,,,,,,,,,
"March 23, 2024",24,143.265,1526.127,33.808,0.759,0.94,51.441,0.506,,,,,,,,,,,,,
"March 24, 2024",20.5,129.327,804.712,56.699,0.968,0.755,59.135,0.163,,,,,,,,,,,,,
"March 25, 2024",7.5,91.344,1482.908,31.62,0.44,0.587,28.929,0.96,,,,,,,,,,,,,
"March 26, 2024",7.1,63.78,1104.006,38.8,0.278,0.828,48.68,0.852,,,,,,,,,,,,,
"March 27, 2024",22.5,179.54,1131.266,55.606,0.798,0.08,44.332,0.864,,,,,,,,,,,,,
"March 28, 2024",6.8,88.189,746.828,48.309,0.326,0.477,15.992,0.407,,,,,,,,,,,,,
"March 29, 2024",25.5,92.222,688.662,22.488,0.299,0.63,18.493,0.762,,,,,,,,,,,,,
"March 30, 2024",22.7,46.18,1400.733,25.892,0.233,0.829,76.998,0.144,,,,,,,,,,,,,
"March 31, 2024",7,147.17,1146.107,20.314,0.13,0.783,29.186,0.009,,,,,,,,,,,,,
"April 01, 2024",7.1,130.989,1080.536,45.237,0.256,0.277,25.597,0.02,,,,,,,,,,,,,
"April 02, 2024",29.7,55.323,1402.459,37.907,0.355,0.941,50.393,0.587,,,,,,,,,,,,,
"April 03, 2024",14.4,33.181,1442.064,25.371,0.674,0.124,71.5,0.455,,,,,,,,,,,,,
"April 04, 2024",14.3,128.88,774.799,58.317,0.063,0.875,14.956,0.518,,,,,,,,,,,,,
"April 05, 2024",25.3,124.722,1271.248,41.186,0.211,0.971,56.145,0.007,,,,,,,,,,,,,
"April 06, 2024",28.7,63.722,748.889,29.676,0.809,0.177,19.537,0.423,,,,,,,,,,,,,
"April 07, 2024",29.7,172.138,1426.513,40.024,0.147,0.722,12.917,0.718,,,,,,,,,,,,,
"April 08, 2024",23.8,44.169,1322.651,47.185,0.343,0.04,14.22,0.443,,,,,,,,,,,,,
"April 09, 2024",14.4,89.174,1652.276,23.05,0.865,0.405,76.733,0.732,,,,,,,,,,,,,
"April 10, 2024",7.1,170.979,675.854,30.988,0.155,0.516,19.438,0.233,,,,,,,,,,,,,
"April 11, 2024",24.4,87.156,662.76,52.279,0.083,0.581,13.612,0.813,,,,,,,,,,,,,
"April 12, 2024",19,122.164,910.406,38.387,0.485,0.936,45.032,0.588,,,,,,,,,,,,,
"April 13, 2024",15.6,83.615,887.876,41.863,0.302,0.672,77.519,0.211,,,,,,,,,,,,,
"April 14, 2024",27.7,63.874,871.677,37.313,0.563,0.481,30.993,0.237,,,,,,,,,,,,,
"April 15, 2024",7.8,177.436,1596.88,21.756,0.804,0.81,43.737,0.628,,,,,,,,,,,,,
"April 16, 2024",17.3,85.493,874.501,26.63,0.137,0.951,13.194,0.83,,,,,,,,,,,,,
"April 17, 2024",5.3,163.056,899.145,37.822,0.581,0.022,45.926,0.416,,,,,,,,,,,,,
"April 18, 2024",16.7,56.793,1435.338,28.367,0.506,0.983,56.209,0.258,,,,,,,,,,,,,
"April 19, 2024",6.4,54.097,1094.714,21.999,0.144,0.086,55.673,0.867,,,,,,,,,,,,,
"April 20, 2024",8,24.981,1454.382,53.746,0.624,0.814,36.594,0.669,,,,,,,,,,,,,
"April 21, 2024",7.9,124.267,671.903,59.248,0.274,0.28,35.243,0.448,,,,,,,,,,,,,
"April 22, 2024",21.2,78.964,1136.328,51.726,0.488,0.132,18.53,0.488,,,,,,,,,,,,,
"April 23, 2024",23.7,158.297,636.975,54.151,0.082,0.44,39.344,0.204,,,,,,,,,,,,,
"April 24, 2024",19.6,95.714,668.919,29.679,0.46,0.644,17.96,0.627,,,,,,,,,,,,,
"April 25, 2024",29.1,174.911,1597.081,58.425,0.306,0.381,71.328,0.359,,,,,,,,,,,,,
"April 26, 2024",14.4,49.684,753.17,27.877,0.822,0.055,87.302,0.996,,,,,,,,,,,,,
"April 27, 2024",12.1,158.98,1185.663,58.057,0.057,0.599,87.606,0.48,,,,,,,,,,,,,
"April 28, 2024",26.7,144.255,1052.205,59.793,0.419,0.902,79.206,0.486,,,,,,,,,,,,,
"April 29, 2024",10.6,143.347,982.078,48.469,0.458,0.383,58.063,0.566,,,,,,,,,,,,,
"April 30, 2024",29.1,155.165,1589.817,59.246,0.725,0.216,66.069,0.917,,,,,,,,,,,,,
"May 01, 2024",5.3,141.764,624.006,42.782,0.574,0.443,32.816,0.801,,,,,,,,,,,,,
"May 02, 2024",29.2,120.195,1330.169,30.382,0.667,0.048,60.462,0.451,,,,,,,,,,,,,
"May 03, 2024",6.1,40.999,1659.734,37.48,0.777,0.82,46.452,0.719,,,,,,,,,,,,,
"May 04, 2024",27.3,25.204,1216.185,43.742,0.862,0.826,48.561,0.586,,,,,,,,,,,,,
"May 05, 2024",18.2,167.336,1630.505,22.923,0.314,0.588,70.622,0.492,,,,,,,,,,,,,
"May 06, 2024",29.8,118.664,657.484,44.894,0.538,0.353,32.553,0.192,,,,,,,,,,,,,
"May 07, 2024",6.8,147.446,1060.673,59.247,0.84,0.8,35.443,0.464,,,,,,,,,,,,,
"May 08, 2024",18.8,97.044,886.174,27.604,0.989,0.555,83.971,0.246,,,,,,,,,,,,,
"May 09, 2024",29.2,38.769,1403.903,51.704,0.89,0.826,14.498,0.915,,,,,,,,,,,,,
"May 10, 2024",18.1,40.03,1679.427,56.316,0.371,0.631,48.851,0.335,,,,,,,,,,,,,
"May 11, 2024",20.7,129.69,882.183,57.748,0.195,0.784,83.024,0.952,,,,,,,,,,,,,
"May 12, 2024",22.4,88.849,1319.592,58.405,0.489,0.599,58.829,0.533,,,,,,,,,,,,,
"May 13, 2024",16.4,52.084,817.907,40.858,0.742,0.414,53.713,0.632,,,,,,,,,,,,,
"May 14, 2024",20.7,98.655,1221.863,59.092,0.493,0.958,29.98,0.543,,,,,,,,,,,,,
"May 15, 2024",19.6,30.273,1110.326,50.292,0.483,0.541,37.462,0.129,,,,,,,,,,,,,
"May 16, 2024",27.5,113.115,1669.206,26.467,0.838,0.605,78.164,0.376,,,,,,,,,,,,,
"May 17, 2024",6.1,63.039,1269.38,39.076,0.361,0.22,54.737,0.099,,,,,,,,,,,,,
"May 18, 2024",12,147.609,984.457,48.733,0.86,0.626,51.179,0.623,,,,,,,,,,,,,
"May 19, 2024",28.8,69.658,725.505,29.894,0.407,0.572,17.966,0.447,,,,,,,,,,,,,
"May 20, 2024",27.3,92.835,766.372,45.625,0.328,0.185,11.282,0.778,,,,,,,,,,,,,
"May 21, 2024",16.4,21.859,847.849,46.664,0.454,0.06,87.095,0.22,,,,,,,,,,,,,
"May 22, 2024",20.5,31.592,876.063,26.508,0.762,0.604,40.159,0.165,,,,,,,,,,,,,
"May 23, 2024",11.9,82.799,1535.678,42.603,0.126,0.764,58.257,0.406,,,,,,,,,,,,,
"May 24, 2024",9.7,96.79,1217.345,50.865,0.196,0.523,16.377,0.927,,,,,,,,,,,,,
"May 25, 2024",16.6,116.003,1175.73,39.956,0.951,0.227,64.649,0.71,,,,,,,,,,,,,
"May 26, 2024",13.8,66.666,726.246,20.484,0.175,0.667,84.605,0.419,,,,,,,,,,,,,
"May 27, 2024",19.6,131.197,1546.154,20.362,0.568,0.08,56.053,0.517,,,,,,,,,,,,,
"May 28, 2024",6.9,157.62,1395.096,34.281,0.579,0.442,20.089,0.084,,,,,,,,,,,,,
"May 29, 2024",29.4,144.776,674.435,57.048,0.49,0.163,56.538,0.985,,,,,,,,,,,,,
"May 30, 2024",29.7,26.339,1378.619,29.147,0.645,0.184,71.308,0.666,,,,,,,,,,,,,
"May 31, 2024",22.5,96.881,1197.892,45.375,0.23,0.202,42.513,0.285,,,,,,,,,,,,,
"June 01, 2024",18.4,36.789,689.898,28.883,0.553,0.387,80.387,0.586,,,,,,,,,,,,,
"June 02, 2024",12.7,58.727,1104.131,32.867,0.372,0.051,61.895,0.109,,,,,,,,,,,,,
"June 03, 2024",25.3,177.866,1133.166,53.922,0.662,0.398,81.94,0.966,,,,,,,,,,,,,
"June 04, 2024",22.1,42.799,782.352,49.154,0.141,0.512,59.88,0.175,,,,,,,,,,,,,
"June 05, 2024",9.1,99.822,1640.268,23.816,0.571,0.483,20.503,0.648,,,,,,,,,,,,,
